Date,Open,High,Low,Close,Adj Close,Volume
2020-02-25,402.399994,402.399994,385.299988,388.899994,388.160645,10050971
2020-02-26,385.100006,386.950012,372.500000,374.700012,373.987640,12146582
2020-02-27,375.000000,390.700012,369.450012,388.500000,387.761414,15164166
2020-02-28,379.649994,385.600006,371.100006,372.899994,372.191040,8439591
2020-03-02,378.000000,383.649994,363.350006,369.500000,368.797516,6915567
2020-03-03,374.000000,396.399994,373.250000,393.549988,392.801788,14474553
2020-03-04,398.000000,412.899994,387.350006,405.450012,404.679199,26369149
2020-03-05,409.950012,414.799988,401.750000,404.899994,404.130219,9874059
2020-03-06,390.049988,403.200012,390.049988,400.899994,400.137817,6500912
2020-03-09,396.049988,403.899994,385.549988,393.350006,392.602203,13151861
2020-03-11,394.399994,395.250000,380.049988,385.950012,385.216278,9127352
2020-03-12,365.500000,372.700012,346.399994,354.799988,354.125458,11662910
2020-03-13,341.000000,402.950012,325.000000,384.200012,383.469604,15802632
2020-03-16,376.000000,396.399994,362.799988,368.549988,367.849304,14480298
2020-03-17,376.000000,395.600006,364.200012,370.149994,369.446289,12903597
2020-03-18,383.399994,386.399994,355.100006,362.750000,362.060364,12342300
2020-03-19,351.700012,374.450012,347.649994,360.399994,359.714813,8728092
2020-03-20,365.200012,379.500000,362.200012,365.250000,364.555603,10630619
2020-03-23,345.000000,354.700012,315.049988,324.500000,323.883087,8018903
2020-03-24,330.000000,348.000000,330.000000,335.149994,334.512817,6408582
2020-03-25,332.000000,350.799988,329.549988,347.649994,346.989044,6174391
2020-03-26,365.000000,368.000000,336.100006,338.299988,337.656830,11670467
2020-03-27,347.000000,352.500000,333.000000,338.250000,337.606934,7745135
2020-03-30,321.649994,344.000000,312.000000,332.700012,332.067505,11648241
2020-03-31,340.100006,355.000000,328.250000,352.299988,351.630219,9954142
2020-04-01,353.000000,355.250000,338.399994,343.549988,342.896851,6702159
2020-04-03,343.950012,389.799988,340.000000,375.950012,375.235260,28550430
2020-04-07,398.000000,422.850006,388.299988,417.350006,416.556549,29675052
2020-04-08,419.000000,448.750000,413.149994,436.700012,435.869781,27810872
2020-04-09,454.399994,473.899994,443.399994,454.450012,453.586029,31862948
2020-04-13,462.950012,477.899994,443.100006,462.350006,461.471008,30510226
2020-04-15,474.899994,488.500000,444.100006,449.200012,448.346008,32508955
2020-04-16,450.000000,467.600006,449.200012,463.700012,462.818451,16932965
2020-04-17,476.950012,476.950012,448.450012,457.100006,456.230988,19774082
2020-04-20,457.350006,475.000000,450.549988,473.399994,472.500000,17893064
2020-04-21,467.850006,490.700012,464.250000,473.149994,472.250458,30021752
2020-04-22,474.950012,482.399994,469.000000,474.350006,473.448181,13336137
2020-04-23,476.950012,487.850006,474.350006,477.450012,476.542297,13748820
2020-04-24,476.950012,497.000000,473.549988,485.549988,484.626892,23394027
2020-04-27,491.000000,504.799988,487.000000,489.899994,488.968628,19310626
2020-04-28,495.000000,495.399994,470.299988,473.950012,473.048950,12847910
2020-04-29,476.000000,484.950012,473.149994,477.649994,476.741913,10166496
2020-04-30,484.000000,485.000000,458.399994,464.450012,463.567017,18471206
2020-05-04,464.450012,474.500000,458.000000,465.450012,464.565125,16097066
2020-05-05,469.799988,472.500000,454.000000,456.299988,455.432495,7850482
2020-05-06,459.600006,463.000000,448.000000,454.399994,453.536102,10829910
2020-05-07,462.000000,465.700012,450.200012,452.200012,451.340302,11216033
2020-05-08,460.000000,471.399994,454.049988,469.000000,468.108368,13693803
2020-05-11,473.700012,475.549988,461.299988,463.850006,462.968170,10294818
2020-05-12,465.000000,468.799988,455.299988,463.899994,463.018036,9507971
2020-05-13,469.000000,469.450012,450.200012,452.350006,451.490021,10010310
2020-05-14,453.000000,462.950012,448.799988,455.950012,455.083191,11764703
2020-05-15,455.950012,458.899994,445.549988,448.600006,447.747162,7863358
2020-05-18,447.000000,454.600006,434.250000,440.700012,439.862183,9067298
2020-05-19,443.799988,456.000000,438.600006,441.700012,440.860260,10126393
2020-05-20,439.899994,458.450012,437.250000,455.750000,454.883545,7967084
2020-05-21,455.500000,469.000000,453.000000,466.450012,465.563232,8987658
2020-05-22,467.000000,471.899994,458.049988,469.399994,468.507599,10194204
2020-05-26,471.000000,475.500000,457.000000,459.149994,458.277069,9801056
2020-05-27,464.899994,464.899994,443.399994,450.899994,450.042755,13253937
2020-05-28,453.899994,461.649994,444.700012,459.100006,458.227203,12632972
2020-05-29,460.000000,481.600006,458.000000,474.250000,473.348389,12662824
2020-06-01,483.500000,483.700012,458.299988,465.399994,464.515198,18563612
2020-06-02,470.000000,481.000000,468.149994,473.100006,472.200562,10978049
2020-06-03,474.950012,481.600006,473.000000,476.149994,475.244751,7767457
2020-06-04,473.000000,498.000000,472.100006,494.850006,493.909210,19100026
2020-06-05,501.000000,511.000000,492.200012,494.250000,493.310364,22798341
2020-06-08,498.750000,498.750000,485.049988,489.000000,488.070343,9176155
2020-06-09,492.000000,512.700012,492.000000,500.750000,499.798004,25883378
2020-06-10,502.500000,507.000000,493.549988,499.149994,498.201050,10636465
2020-06-11,490.000000,493.799988,469.100006,473.649994,472.749512,18547382
2020-06-12,455.000000,481.899994,455.000000,480.100006,479.187256,11498488
2020-06-15,481.000000,489.399994,472.700012,485.799988,484.876404,10727187
2020-06-16,489.399994,493.500000,476.500000,483.399994,482.480988,11247556
2020-06-17,484.149994,489.750000,479.100006,485.649994,484.726715,8222223
2020-06-18,485.649994,488.500000,483.000000,484.250000,483.329376,4077225
2020-06-19,486.799988,491.950012,485.200012,488.100006,487.172058,8114839
2020-06-22,492.200012,501.200012,486.000000,493.200012,492.262360,9203804
2020-06-23,493.200012,503.000000,489.500000,500.450012,499.498596,10732649
2020-06-24,502.000000,503.399994,481.000000,484.399994,483.479065,8567595
2020-06-25,480.299988,492.500000,477.000000,487.649994,486.722900,6954147
2020-06-26,490.250000,491.000000,472.200012,479.950012,479.037567,7489306
2020-06-29,475.500000,487.350006,475.000000,482.000000,481.083649,5727377
2020-06-30,483.399994,483.950012,469.799988,472.950012,472.050873,8339357
2020-07-01,473.500000,475.799988,466.149994,468.149994,467.259979,5983810
2020-07-02,468.000000,474.950012,467.950012,473.000000,472.100769,3731827
2020-07-03,477.000000,479.350006,472.000000,476.850006,475.943451,4666364
2020-07-06,478.000000,481.250000,471.399994,480.200012,479.287079,5995257
2020-07-07,480.000000,486.000000,476.149994,479.250000,478.338867,6793452
2020-07-08,482.549988,488.000000,479.950012,482.500000,481.582703,6279449
2020-07-09,484.549988,487.200012,480.350006,481.950012,481.033752,3184268
2020-07-10,484.649994,498.899994,483.049988,493.899994,492.961029,14898919
2020-07-13,495.000000,501.700012,492.299988,499.700012,498.750000,7504299
2020-07-14,500.000000,503.899994,490.100006,492.100006,491.164459,6996801
2020-07-15,494.200012,499.399994,492.200012,495.100006,494.158752,4710170
2020-07-16,496.000000,505.950012,490.600006,499.700012,498.750000,11263548
2020-07-17,499.600006,509.549988,497.350006,503.600006,502.642578,9592466
2020-07-20,501.899994,501.899994,481.600006,483.799988,482.880219,16111398
2020-07-21,488.000000,488.200012,475.000000,477.250000,476.342682,8470749
2020-07-22,479.649994,488.000000,471.600006,474.299988,473.398285,9848007
2020-07-23,477.950012,481.850006,474.049988,476.000000,475.095062,5416291
2020-07-24,490.000000,497.799988,481.250000,485.600006,484.676819,19812185
2020-07-27,484.850006,487.600006,469.000000,475.500000,474.596008,6112617
2020-07-28,475.500000,483.750000,473.250000,482.600006,481.682526,5917155
2020-07-29,485.700012,496.299988,484.149994,493.000000,492.062744,8531803
2020-07-30,493.200012,513.200012,487.299988,509.950012,508.980530,17534819
2020-07-31,514.250000,541.000000,507.500000,531.700012,530.689148,41253676
2020-08-03,534.099976,540.200012,516.799988,519.400024,518.412598,25348229
2020-08-04,522.000000,532.400024,517.250000,528.950012,527.944397,11950138
2020-08-05,537.900024,538.000000,527.049988,528.849976,527.844543,10928555
2020-08-06,533.900024,541.450012,526.150024,532.250000,531.238098,10919796
2020-08-07,532.299988,535.450012,522.599976,525.950012,524.950073,7275403
2020-08-10,526.000000,550.799988,526.000000,543.849976,542.816040,16271180
2020-08-11,548.000000,549.599976,535.099976,541.049988,540.021362,7774058
2020-08-12,540.750000,540.750000,529.750000,532.150024,531.138306,7405695
2020-08-13,532.150024,535.950012,519.049988,520.799988,519.809875,8729438
2020-08-14,523.500000,536.000000,522.000000,531.349976,530.339783,11787355
2020-08-17,536.099976,537.500000,527.000000,528.349976,527.345520,6657699
2020-08-18,531.700012,533.900024,524.150024,526.000000,525.000000,5555588
2020-08-19,530.000000,532.900024,524.349976,525.400024,525.400024,5414452
2020-08-20,524.500000,529.900024,521.049988,522.299988,522.299988,4886692
2020-08-21,526.549988,538.700012,524.299988,532.349976,532.349976,9833484
2020-08-24,538.650024,538.650024,528.049988,533.450012,533.450012,5675533
2020-08-25,533.599976,535.150024,523.450012,525.099976,525.099976,4414315
2020-08-26,526.049988,530.000000,522.250000,525.150024,525.150024,5205745
2020-08-27,528.950012,537.000000,524.400024,532.250000,532.250000,8564601
2020-08-28,538.099976,564.750000,534.750000,555.750000,555.750000,29017731
2020-08-31,560.650024,561.000000,514.049988,520.250000,520.250000,20056792
2020-09-01,521.200012,527.650024,506.200012,521.450012,521.450012,13860865
2020-09-02,523.500000,525.599976,509.200012,514.500000,514.500000,9636136
2020-09-03,518.549988,526.849976,512.549988,523.450012,523.450012,10052098
2020-09-04,518.000000,530.400024,508.250000,512.450012,512.450012,12380025
2020-09-07,516.000000,518.200012,504.250000,513.250000,513.250000,6320017
2020-09-08,512.000000,517.650024,498.649994,501.899994,501.899994,8519561
2020-09-09,497.000000,512.799988,493.600006,509.299988,509.299988,10532163
2020-09-10,512.700012,516.700012,503.649994,507.950012,507.950012,8572739
2020-09-11,507.000000,512.349976,502.600006,505.549988,505.549988,5189670
2020-09-14,505.549988,509.000000,494.000000,495.799988,495.799988,8041379
2020-09-15,498.000000,512.400024,496.000000,506.399994,506.399994,11686574
2020-09-16,510.149994,520.000000,503.399994,518.500000,518.500000,10080107
2020-09-17,516.799988,521.900024,510.500000,512.000000,512.000000,9959257
2020-09-18,517.450012,535.000000,515.000000,523.349976,523.349976,25685130
2020-09-21,523.799988,528.250000,499.000000,503.649994,503.649994,9977984
2020-09-22,509.500000,515.000000,493.600006,508.850006,508.850006,9862141
2020-09-23,520.500000,521.000000,498.250000,502.899994,502.899994,10846053
2020-09-24,497.500000,501.250000,483.000000,485.799988,485.799988,8768744
2020-09-25,496.000000,496.000000,483.850006,489.649994,489.649994,9665092
2020-09-28,495.000000,512.000000,488.500000,510.100006,510.100006,12221177
2020-09-29,517.849976,517.849976,504.500000,506.149994,506.149994,8592449
2020-09-30,508.000000,516.200012,498.299988,500.450012,500.450012,12981899
2020-10-01,505.100006,510.500000,501.299988,506.899994,506.899994,6733075
2020-10-05,507.000000,525.099976,503.799988,523.099976,523.099976,8831627
2020-10-06,526.000000,527.599976,519.000000,521.049988,521.049988,8537178
2020-10-07,516.099976,522.900024,509.200012,511.750000,511.750000,8346531
2020-10-08,514.599976,526.000000,511.750000,524.099976,524.099976,9392711
2020-10-09,525.000000,529.299988,511.049988,512.900024,512.900024,11468529
2020-10-12,514.900024,517.349976,509.299988,513.900024,513.900024,7092628
2020-10-13,514.000000,519.950012,501.600006,503.149994,503.149994,8851580
2020-10-14,503.149994,507.500000,493.299988,502.200012,502.200012,7640368
2020-10-15,504.700012,504.700012,489.000000,490.299988,490.299988,6605127
2020-10-16,491.000000,494.750000,485.250000,486.899994,486.899994,9085611
2020-10-19,489.950012,490.899994,480.899994,483.649994,483.649994,5158764
2020-10-20,484.950012,488.549988,480.399994,486.350006,486.350006,5550859
2020-10-21,489.000000,492.200012,481.500000,490.200012,490.200012,7269981
2020-10-22,491.200012,491.399994,481.700012,485.549988,485.549988,6428694
2020-10-23,488.000000,494.500000,482.899994,484.500000,484.500000,6578265
2020-10-26,487.399994,487.399994,471.100006,474.500000,474.500000,6499259
2020-10-27,474.600006,476.750000,467.250000,470.450012,470.450012,7693069
2020-10-28,473.000000,475.750000,461.399994,463.399994,463.399994,7723679
2020-10-29,463.000000,464.000000,452.250000,456.350006,456.350006,8297097
2020-10-30,458.649994,469.000000,455.850006,465.750000,465.750000,8680701
2020-11-02,467.899994,471.000000,459.049988,469.399994,469.399994,7737909
2020-11-03,472.049988,490.600006,465.750000,485.600006,485.600006,16853462
2020-11-04,499.899994,518.250000,495.149994,504.649994,504.649994,48182254
2020-11-05,508.000000,514.000000,502.500000,512.500000,512.500000,14095319
2020-11-06,515.000000,515.750000,506.750000,509.149994,509.149994,9251548
2020-11-09,512.500000,518.000000,504.450012,510.149994,510.149994,9718357
2020-11-10,511.000000,514.250000,489.000000,490.899994,490.899994,12767338
2020-11-11,495.000000,508.350006,492.000000,506.049988,506.049988,11754997
2020-11-12,503.950012,517.700012,502.200012,509.250000,509.250000,10911897
2020-11-13,511.950012,515.799988,504.549988,508.450012,508.450012,9501329
2020-11-14,null,null,null,null,null,null
2020-11-17,517.000000,523.400024,514.049988,518.400024,518.400024,12411197
2020-11-18,514.000000,518.349976,509.000000,513.000000,513.000000,6483702
2020-11-19,512.000000,516.150024,505.000000,507.350006,507.350006,6843207
2020-11-20,510.000000,512.500000,496.000000,503.250000,503.250000,7594535
2020-11-23,504.000000,516.400024,501.000000,512.849976,512.849976,8931512
2020-11-24,513.500000,522.750000,508.200012,520.150024,520.150024,9096230
2020-11-25,521.200012,526.000000,504.149994,506.200012,506.200012,10673809
2020-11-26,506.000000,513.000000,502.299988,511.700012,511.700012,7494355
2020-11-27,514.000000,520.799988,509.200012,511.649994,511.649994,12954065
2020-12-01,518.000000,542.750000,512.650024,539.349976,539.349976,25388623
2020-12-02,540.900024,547.000000,536.000000,544.650024,544.650024,14234038
2020-12-03,550.000000,551.450012,541.000000,548.250000,548.250000,9345458
2020-12-04,550.000000,572.900024,545.200012,569.049988,569.049988,16177536
2020-12-07,570.349976,591.500000,567.049988,582.299988,582.299988,21232768
2020-12-08,582.000000,582.000000,565.799988,568.700012,568.700012,10673103
2020-12-09,571.000000,583.950012,566.700012,569.549988,569.549988,11144200
2020-12-10,570.000000,574.750000,560.099976,565.200012,565.200012,6755693
