Date,Open,High,Low,Close,Adj Close,Volume
2020-02-25,533.000000,537.950012,530.950012,535.250000,533.334778,9623521
2020-02-26,532.700012,539.400024,520.299988,535.950012,534.032288,18615730
2020-02-27,534.700012,535.849976,527.000000,531.650024,529.747742,11171400
2020-02-28,524.900024,528.400024,513.500000,523.500000,521.626831,16622086
2020-03-02,534.000000,536.000000,511.850006,518.349976,516.495239,9910097
2020-03-03,524.000000,533.349976,514.150024,520.799988,518.936523,10368929
2020-03-04,525.000000,532.799988,507.399994,516.750000,514.901001,17733434
2020-03-05,522.799988,530.700012,516.650024,526.900024,525.014709,14080598
2020-03-06,517.750000,523.650024,511.450012,519.150024,517.292419,9328722
2020-03-09,510.000000,512.000000,491.049988,496.250000,494.474365,15375556
2020-03-11,487.000000,508.500000,487.000000,493.799988,492.033112,21007582
2020-03-12,478.500000,481.500000,459.200012,464.950012,463.286377,14204409
2020-03-13,453.799988,509.049988,420.000000,491.850006,490.090118,23807314
2020-03-16,472.250000,492.950012,456.149994,464.799988,463.136871,14661016
2020-03-17,465.000000,481.000000,444.350006,454.700012,453.073029,12396957
2020-03-18,460.000000,478.799988,407.450012,425.549988,424.027313,28801933
2020-03-19,416.450012,451.649994,361.750000,444.750000,443.158630,23574623
2020-03-20,445.000000,472.000000,436.649994,462.649994,460.994568,19394829
2020-03-23,416.399994,445.700012,399.500000,407.350006,405.892456,14632657
2020-03-24,410.899994,437.850006,400.149994,404.049988,402.604248,12709240
2020-03-25,406.549988,438.250000,405.600006,429.100006,427.564636,13833466
2020-03-26,426.500000,493.450012,420.250000,470.700012,469.015778,21891559
2020-03-27,470.700012,474.799988,437.500000,448.950012,447.343597,16076572
2020-03-30,443.850006,449.299988,428.000000,431.049988,429.507629,10022553
2020-03-31,441.000000,447.000000,424.000000,440.899994,439.322388,16745069
2020-04-01,440.000000,440.000000,412.399994,421.350006,419.842377,9469123
2020-04-03,432.000000,432.000000,415.600006,423.950012,422.433075,14153710
2020-04-07,433.149994,485.750000,433.149994,470.200012,468.517578,15266903
2020-04-08,474.350006,491.100006,453.000000,461.649994,459.998138,13387974
2020-04-09,471.000000,492.299988,471.000000,488.700012,486.951385,11742367
2020-04-13,491.000000,520.900024,491.000000,512.200012,510.367310,23966578
2020-04-15,533.950012,535.950012,505.049988,510.500000,508.673370,25792855
2020-04-16,500.000000,513.000000,497.350006,500.450012,498.659332,17080435
2020-04-17,511.000000,512.500000,498.200012,502.450012,500.652191,16127523
2020-04-20,507.700012,507.700012,486.899994,490.299988,488.545624,11473101
2020-04-21,484.000000,503.799988,479.149994,500.500000,498.709137,15490855
2020-04-22,516.000000,517.049988,492.049988,501.399994,499.605927,18107595
2020-04-23,501.850006,507.299988,491.049988,496.000000,494.225250,12532066
2020-04-24,494.899994,499.000000,484.450012,494.250000,492.481506,11937738
2020-04-27,498.049988,503.049988,491.100006,494.049988,492.282227,9888710
2020-04-28,497.450012,497.450012,484.100006,485.649994,483.912262,11512936
2020-04-29,490.950012,498.399994,487.049988,496.000000,494.225250,8217429
2020-04-30,503.100006,515.950012,495.200012,514.299988,512.459778,19799159
2020-05-04,502.450012,540.000000,499.899994,532.500000,530.594666,34019449
2020-05-05,538.000000,553.700012,526.049988,528.049988,526.160583,29936905
2020-05-06,531.750000,551.450012,530.049988,546.000000,544.046326,25594154
2020-05-07,545.349976,545.349976,524.450012,528.049988,526.160583,15532117
2020-05-08,540.000000,545.799988,528.299988,530.049988,528.153381,13592411
2020-05-11,533.049988,548.500000,532.099976,536.200012,534.281433,14223754
2020-05-12,533.000000,564.000000,530.500000,559.849976,557.846741,22616585
2020-05-13,568.400024,569.750000,549.299988,555.950012,553.960754,21113369
2020-05-14,551.099976,562.500000,535.099976,539.849976,537.918335,13180860
2020-05-15,543.500000,556.900024,539.400024,554.099976,552.117310,14486140
2020-05-18,556.900024,559.000000,535.200012,538.049988,536.124756,21586050
2020-05-19,558.500000,603.500000,557.000000,598.799988,596.657410,71908985
2020-05-20,605.000000,612.000000,588.599976,594.049988,591.924377,35741865
2020-05-21,590.500000,604.500000,585.400024,594.549988,592.422607,20292552
2020-05-22,597.000000,597.400024,587.000000,593.200012,591.077454,11416299
2020-05-26,572.000000,576.450012,557.549988,559.250000,557.248962,76496981
2020-05-27,561.000000,565.549988,553.849976,563.099976,561.085144,22525840
2020-05-28,564.650024,568.000000,556.000000,562.750000,560.736389,16268836
2020-05-29,558.000000,564.000000,543.799988,552.599976,550.622681,54188806
2020-06-01,559.000000,561.650024,550.150024,559.049988,557.049622,39287024
2020-06-02,563.000000,572.299988,556.099976,558.099976,556.103027,31972728
2020-06-03,568.000000,568.299988,549.250000,551.650024,549.676147,29234914
2020-06-04,552.299988,585.400024,549.549988,572.450012,570.401733,29454264
2020-06-05,584.000000,590.000000,567.450012,584.349976,582.259094,47873027
2020-06-08,588.000000,593.700012,579.200012,585.150024,583.056274,20429990
2020-06-09,580.000000,591.650024,565.700012,567.799988,565.768311,14938972
2020-06-10,571.000000,576.000000,563.049988,567.099976,565.070801,19130270
2020-06-11,570.000000,573.799988,546.700012,551.849976,549.875366,27290666
2020-06-12,540.000000,562.000000,540.000000,560.099976,558.095886,18870073
2020-06-15,556.000000,563.750000,549.000000,550.700012,548.729553,13583898
2020-06-16,558.000000,559.299988,537.000000,544.900024,542.950317,19072591
2020-06-17,546.849976,565.500000,541.000000,563.450012,561.433899,20531273
2020-06-18,564.250000,572.900024,558.200012,560.900024,558.893066,19329677
2020-06-19,561.900024,578.200012,561.000000,572.500000,570.451538,41152081
2020-06-22,575.799988,588.000000,570.400024,581.049988,578.970947,12715764
2020-06-23,581.049988,584.599976,574.349976,578.799988,576.728943,9761566
2020-06-24,581.000000,582.000000,555.000000,557.349976,555.355713,12387239
2020-06-25,553.900024,563.700012,550.000000,559.000000,556.999817,15588791
2020-06-26,560.000000,566.400024,557.150024,560.400024,558.394836,11108837
2020-06-29,558.900024,568.950012,551.200012,567.099976,565.070801,12920390
2020-06-30,572.000000,577.000000,557.400024,559.849976,557.846741,12939125
2020-07-01,575.000000,575.000000,558.299988,560.150024,558.145752,13638591
2020-07-02,564.799988,567.000000,557.599976,558.450012,556.451782,13541452
2020-07-03,561.799988,583.450012,560.599976,581.450012,579.369507,20618770
2020-07-06,587.599976,589.299988,575.049988,576.599976,574.536804,15817653
2020-07-07,579.000000,582.599976,566.049988,567.150024,565.120667,12524299
2020-07-08,572.000000,574.000000,559.000000,561.299988,559.291565,9404733
2020-07-09,564.000000,570.250000,560.299988,568.650024,566.615295,8452955
2020-07-10,569.099976,579.000000,565.650024,574.700012,572.643677,13282943
2020-07-13,574.500000,589.000000,570.000000,586.799988,584.700317,16353455
2020-07-14,584.500000,596.799988,578.549988,589.349976,587.241211,32328497
2020-07-15,588.950012,588.950012,559.650024,563.599976,561.583374,19693187
2020-07-16,565.900024,566.200012,553.299988,562.750000,560.736389,11316406
2020-07-17,563.099976,573.900024,561.750000,566.750000,564.722107,11964836
2020-07-20,571.000000,582.500000,567.599976,575.750000,573.689880,9609258
2020-07-21,580.000000,583.799988,566.349976,567.750000,565.718506,11784668
2020-07-22,568.000000,575.500000,562.799988,569.150024,567.113525,10831170
2020-07-23,570.000000,575.750000,564.000000,567.200012,565.170471,9539679
2020-07-24,565.000000,567.400024,555.400024,559.450012,557.448242,9776883
2020-07-27,558.200012,563.750000,544.150024,559.500000,557.498047,10694766
2020-07-28,558.500000,574.250000,555.299988,564.599976,562.579773,13948327
2020-07-29,565.250000,569.150024,560.250000,566.200012,564.174072,9795850
2020-07-30,576.000000,580.450012,543.049988,552.700012,550.722412,44491042
2020-07-31,550.900024,559.299988,546.299988,554.849976,552.864624,13660951
2020-08-03,554.500000,556.500000,546.400024,547.349976,545.391479,9219647
2020-08-04,548.000000,553.349976,545.849976,549.000000,547.035583,11813321
2020-08-05,552.000000,560.500000,546.549988,558.950012,556.950012,12682126
2020-08-06,561.700012,561.700012,552.650024,555.299988,555.299988,10425223
2020-08-07,556.000000,563.400024,552.049988,560.799988,560.799988,7210629
2020-08-10,564.299988,565.000000,554.799988,558.849976,558.849976,9417791
2020-08-11,558.000000,560.500000,550.200012,551.099976,551.099976,8137906
2020-08-12,550.000000,561.250000,545.349976,547.700012,547.700012,12380655
2020-08-13,534.000000,548.299988,524.250000,535.349976,535.349976,36774315
2020-08-14,542.849976,542.849976,525.000000,528.599976,528.599976,18208679
2020-08-17,530.549988,532.500000,518.099976,521.400024,521.400024,19012503
2020-08-18,522.049988,529.099976,520.150024,526.299988,526.299988,13517871
2020-08-19,529.000000,539.900024,527.099976,535.849976,535.849976,17074711
2020-08-20,531.000000,533.599976,522.700012,525.549988,525.549988,13438502
2020-08-21,529.799988,529.799988,516.000000,520.250000,520.250000,21834948
2020-08-24,517.900024,532.400024,508.200012,526.900024,526.900024,29166795
2020-08-25,534.500000,535.650024,526.000000,528.650024,528.650024,19515469
2020-08-26,528.400024,528.400024,512.000000,514.500000,514.500000,25900711
2020-08-27,514.400024,518.500000,508.000000,511.149994,511.149994,21857811
2020-08-28,512.099976,529.549988,512.099976,523.450012,523.450012,21808307
2020-08-31,518.500000,522.299988,508.549988,513.099976,513.099976,186822112
2020-09-01,517.500000,555.450012,514.200012,546.250000,546.250000,74337055
2020-09-02,550.000000,559.000000,545.099976,550.549988,550.549988,35023080
2020-09-03,550.549988,552.900024,535.650024,538.000000,538.000000,24622371
2020-09-04,531.500000,538.000000,519.500000,523.150024,523.150024,28083101
2020-09-07,525.000000,528.000000,510.299988,515.450012,515.450012,16146880
2020-09-08,516.000000,516.849976,494.000000,498.100006,498.100006,33123285
2020-09-09,493.250000,506.649994,491.100006,504.250000,504.250000,31477528
2020-09-10,508.000000,508.000000,491.200012,497.350006,497.350006,21005683
2020-09-11,499.299988,502.450012,488.549988,491.649994,491.649994,15595789
2020-09-14,496.000000,497.250000,468.299988,474.100006,474.100006,52055170
2020-09-15,475.149994,487.649994,470.049988,485.549988,485.549988,30856993
2020-09-16,487.000000,490.700012,480.549988,481.750000,481.750000,13133009
2020-09-17,480.000000,482.350006,474.000000,479.000000,479.000000,13497099
2020-09-18,483.000000,497.649994,475.299988,494.549988,494.549988,54801197
2020-09-21,496.000000,496.000000,461.250000,467.750000,467.750000,22736012
2020-09-22,468.500000,478.500000,461.000000,470.950012,470.950012,18600835
2020-09-23,467.000000,467.000000,423.899994,433.799988,433.799988,85210323
2020-09-24,425.250000,433.500000,416.149994,419.299988,419.299988,35786822
2020-09-25,425.000000,444.950012,422.149994,439.649994,439.649994,33601909
2020-09-28,446.000000,447.649994,434.049988,443.649994,443.649994,21050405
2020-09-29,444.000000,444.549988,429.500000,435.600006,435.600006,17851941
2020-09-30,438.000000,440.399994,418.149994,420.950012,420.950012,27176142
2020-10-01,426.000000,434.600006,423.649994,432.350006,432.350006,13343410
2020-10-05,432.350006,437.500000,423.000000,424.450012,424.450012,15000512
2020-10-06,427.000000,430.000000,423.100006,426.750000,426.750000,10874138
2020-10-07,427.799988,431.750000,421.100006,422.450012,422.450012,10201992
2020-10-08,426.000000,435.500000,419.100006,424.450012,424.450012,16704999
2020-10-09,428.000000,435.000000,423.299988,425.200012,425.200012,20562554
2020-10-12,428.000000,430.600006,411.850006,415.049988,415.049988,14062583
2020-10-13,421.149994,427.500000,413.100006,415.299988,415.299988,27781712
2020-10-14,416.399994,419.500000,411.299988,413.250000,413.250000,14109639
2020-10-15,413.399994,415.500000,395.000000,399.200012,399.200012,27855207
2020-10-16,404.450012,407.299988,398.350006,401.649994,401.649994,23347926
2020-10-19,403.549988,404.649994,394.000000,397.700012,397.700012,16919802
2020-10-20,397.700012,413.200012,396.950012,405.000000,405.000000,25908801
2020-10-21,405.700012,420.200012,403.549988,419.000000,419.000000,23488208
2020-10-22,419.000000,432.350006,418.000000,430.649994,430.649994,26516700
2020-10-23,434.899994,437.600006,427.299988,434.399994,434.399994,18171109
2020-10-26,434.350006,439.450012,428.000000,434.049988,434.049988,11736641
2020-10-27,434.049988,438.899994,427.500000,433.350006,433.350006,12781163
2020-10-28,446.000000,488.000000,442.000000,451.850006,451.850006,123585414
2020-10-29,447.700012,457.100006,445.000000,450.799988,450.799988,25066713
2020-10-30,454.899994,454.899994,430.500000,433.750000,433.750000,23051143
2020-11-02,435.000000,460.000000,435.000000,457.399994,457.399994,28174600
2020-11-03,458.000000,460.700012,447.450012,454.600006,454.600006,16036760
2020-11-04,453.000000,455.549988,447.149994,453.049988,453.049988,10003680
2020-11-05,457.000000,461.899994,452.600006,457.299988,457.299988,9234395
2020-11-06,457.000000,460.350006,448.750000,449.899994,449.899994,11970462
2020-11-09,456.299988,474.750000,452.549988,471.799988,471.799988,24493687
2020-11-10,474.000000,474.149994,465.000000,466.399994,466.399994,9620279
2020-11-11,467.950012,481.350006,464.049988,478.600006,478.600006,15737416
2020-11-12,476.850006,483.200012,475.049988,479.850006,479.850006,14512799
2020-11-13,477.000000,478.000000,470.000000,475.750000,475.750000,8272841
2020-11-14,null,null,null,null,null,null
2020-11-17,490.899994,494.950012,481.250000,484.549988,484.549988,18699305
2020-11-18,483.950012,485.000000,471.100006,478.399994,478.399994,10311000
2020-11-19,476.000000,481.450012,467.000000,468.549988,468.549988,11329235
2020-11-20,470.500000,485.950012,465.350006,483.700012,483.700012,11867647
2020-11-23,486.750000,486.750000,475.100006,477.250000,477.250000,10005675
2020-11-24,478.399994,481.250000,471.200012,474.250000,474.250000,9173967
2020-11-25,476.500000,477.899994,458.649994,464.100006,464.100006,14229948
2020-11-26,468.700012,469.649994,460.100006,468.399994,468.399994,11322533
2020-11-27,468.299988,472.649994,462.000000,463.250000,463.250000,18151096
2020-12-01,467.750000,482.500000,460.500000,479.450012,479.450012,18193356
2020-12-02,481.000000,487.899994,474.049988,484.899994,484.899994,20562558
2020-12-03,487.100006,489.149994,474.000000,479.899994,479.899994,19723853
2020-12-04,486.850006,497.799988,483.399994,493.750000,493.750000,31039563
2020-12-07,498.000000,510.500000,494.600006,508.950012,508.950012,22125752
2020-12-08,514.000000,516.250000,499.649994,503.600006,503.600006,19298806
2020-12-09,504.899994,506.899994,499.100006,503.049988,503.049988,11608846
2020-12-10,501.500000,508.750000,494.100006,505.149994,505.149994,13194186
