Date,Open,High,Low,Close,Adj Close,Volume
2019-12-24,296.899994,313.500000,296.250000,310.049988,304.574493,43253984
2019-12-26,312.000000,319.799988,293.700012,297.149994,291.902313,45566741
2019-12-27,297.899994,307.399994,294.299988,301.000000,295.684326,40584607
2019-12-30,301.950012,309.299988,300.000000,306.850006,301.431030,23455965
2019-12-31,306.850006,316.899994,305.399994,313.200012,307.668884,34372679
2020-01-01,315.000000,318.299988,310.649994,312.700012,307.177734,18294197
2020-01-02,314.000000,328.600006,310.299988,325.149994,319.407837,31124957
2020-01-03,325.500000,335.799988,321.049988,329.600006,323.779266,38042432
2020-01-06,326.000000,327.149994,301.200012,304.399994,299.024292,31387511
2020-01-07,310.250000,317.399994,303.549988,308.200012,302.757202,32305742
2020-01-08,300.000000,313.000000,297.350006,310.100006,304.623627,23049670
2020-01-09,320.000000,332.799988,317.000000,322.700012,317.001129,34527599
2020-01-10,323.000000,327.700012,312.700012,314.100006,308.552979,25977301
2020-01-13,316.000000,319.000000,308.750000,313.500000,307.963593,16329816
2020-01-14,315.450012,316.750000,306.149994,307.350006,301.922211,16269491
2020-01-15,308.000000,316.450012,301.600006,311.450012,305.949799,22683327
2020-01-16,312.399994,314.500000,306.200012,307.500000,302.069550,12825085
2020-01-17,306.399994,311.000000,303.149994,304.649994,299.269867,11410286
2020-01-20,306.649994,307.850006,292.500000,294.399994,289.200897,15176534
2020-01-21,292.799988,305.799988,291.549988,301.149994,295.831665,16104115
2020-01-22,305.299988,305.950012,295.000000,296.299988,291.067322,12620677
2020-01-23,296.649994,317.600006,296.600006,312.100006,306.588318,30483567
2020-01-24,319.950012,326.399994,316.600006,322.600006,316.902893,26672842
2020-01-27,318.299988,329.700012,317.049988,322.950012,317.246704,20153251
2020-01-28,325.000000,331.200012,317.600006,320.200012,314.545288,19196983
2020-01-29,324.799988,328.399994,313.700012,315.149994,309.584442,16348765
2020-01-30,317.000000,318.500000,304.750000,307.950012,302.511597,16361804
2020-01-31,311.899994,314.000000,304.500000,306.399994,300.988953,16975776
2020-02-03,278.299988,288.000000,250.199997,256.600006,252.068451,32693890
2020-02-04,260.000000,283.200012,257.299988,276.850006,271.960815,35923574
2020-02-05,279.000000,284.149994,271.500000,276.700012,271.813477,20690497
2020-02-06,272.899994,326.399994,268.200012,318.950012,313.317352,103611027
2020-02-07,316.000000,329.000000,311.600006,321.399994,315.724060,42832351
2020-02-10,316.899994,328.000000,315.500000,323.000000,317.295807,22946515
2020-02-11,328.000000,361.000000,326.500000,344.950012,338.858185,62386677
2020-02-12,343.350006,355.450012,322.350006,339.750000,333.750000,59833683
2020-02-13,340.000000,342.399994,324.049988,327.000000,327.000000,24055205
2020-02-14,329.000000,334.450012,318.700012,320.799988,320.799988,19506457
2020-02-17,320.700012,324.399994,306.200012,307.750000,307.750000,16954075
2020-02-18,307.950012,307.950012,293.299988,300.049988,300.049988,18991374
2020-02-19,306.000000,313.350006,302.850006,305.450012,305.450012,19471833
2020-02-20,304.000000,359.750000,301.299988,338.200012,338.200012,70436641
2020-02-24,335.000000,350.799988,326.000000,330.850006,330.850006,40567458
2020-02-25,337.500000,344.000000,318.350006,324.700012,324.700012,35753585
2020-02-26,324.600006,334.700012,315.649994,321.500000,321.500000,31030962
2020-02-27,326.000000,328.200012,308.200012,316.700012,316.700012,30595992
2020-02-28,303.200012,306.299988,275.850006,279.850006,279.850006,37439449
2020-03-02,307.799988,349.750000,279.000000,284.399994,284.399994,70157790
2020-03-03,295.000000,303.799988,283.399994,292.549988,292.549988,47549484
2020-03-04,296.000000,297.850006,270.450012,282.899994,282.899994,40968496
2020-03-05,288.899994,300.000000,280.299988,285.450012,285.450012,40814937
2020-03-06,256.950012,258.899994,243.199997,254.500000,254.500000,43258904
2020-03-09,229.050003,229.050003,203.800003,213.649994,213.649994,40079520
2020-03-11,206.649994,218.949997,186.500000,195.550003,195.550003,55646832
2020-03-12,176.000000,176.000000,131.500000,163.600006,163.600006,49633888
2020-03-13,147.250000,177.000000,140.000000,163.600006,163.600006,37205598
2020-03-16,152.100006,164.699997,150.000000,153.600006,153.600006,23092497
2020-03-17,154.050003,174.949997,150.100006,160.100006,160.100006,35348743
2020-03-18,164.699997,170.000000,113.550003,135.449997,135.449997,38337483
2020-03-19,122.000000,126.650002,81.400002,89.750000,89.750000,73985571
2020-03-20,93.000000,115.500000,81.000000,90.800003,90.800003,132894114
2020-03-23,81.750000,99.849998,81.750000,96.250000,96.250000,41121210
2020-03-24,105.000000,105.849998,88.150002,90.199997,90.199997,22819451
2020-03-25,85.099998,97.000000,83.199997,95.050003,95.050003,21239155
2020-03-26,95.050003,104.000000,88.150002,95.650002,95.650002,38589207
2020-03-27,100.000000,109.949997,89.250000,90.900002,90.900002,39851276
2020-03-30,89.449997,92.849998,85.599998,91.349998,91.349998,15500126
2020-03-31,94.900002,99.150002,92.050003,96.750000,96.750000,16346985
2020-04-01,98.300003,105.000000,97.050003,99.349998,99.349998,23202178
2020-04-03,98.500000,99.000000,93.500000,96.650002,96.650002,14992636
2020-04-07,101.800003,102.349998,96.699997,98.099998,98.099998,20704589
2020-04-08,96.500000,102.449997,95.050003,96.849998,96.849998,21732918
2020-04-09,98.000000,100.400002,97.050003,98.300003,98.300003,18745432
2020-04-13,98.000000,98.449997,88.500000,93.849998,93.849998,22426783
2020-04-15,94.099998,97.750000,90.500000,91.750000,91.750000,24766949
2020-04-16,90.199997,110.099998,90.150002,106.300003,106.300003,54680160
2020-04-17,116.900002,127.550003,111.550003,125.349998,125.349998,82090865
2020-04-20,131.750000,132.899994,123.099998,129.000000,129.000000,51746714
2020-04-21,120.000000,122.349998,113.150002,115.900002,115.900002,37693350
2020-04-22,114.000000,117.500000,108.000000,115.550003,115.550003,35036210
2020-04-23,115.550003,121.000000,115.000000,119.449997,119.449997,22783429
2020-04-24,114.000000,118.400002,111.000000,112.949997,112.949997,19607836
2020-04-27,115.000000,120.500000,114.000000,115.650002,115.650002,21438379
2020-04-28,117.650002,120.000000,114.599998,117.099998,117.099998,21751561
2020-04-29,119.000000,132.399994,117.349998,126.900002,126.900002,67869631
2020-04-30,130.699997,134.899994,127.400002,132.699997,132.699997,30142557
2020-05-04,124.500000,126.400002,119.550003,121.400002,121.400002,13678814
2020-05-05,125.000000,127.199997,117.400002,118.900002,118.900002,19456602
2020-05-06,120.050003,126.000000,118.300003,123.550003,123.550003,18027087
2020-05-07,125.000000,130.899994,123.550003,125.199997,125.199997,17034782
2020-05-08,128.899994,131.500000,121.699997,123.250000,123.250000,17378946
2020-05-11,126.000000,126.400002,121.150002,122.500000,122.500000,12569442
2020-05-12,120.000000,120.300003,112.699997,119.000000,119.000000,21614680
2020-05-13,129.000000,139.649994,125.349998,136.600006,136.600006,53862950
2020-05-14,135.000000,144.899994,130.050003,131.399994,131.399994,52919773
2020-05-15,132.000000,134.800003,128.550003,133.449997,133.449997,26315670
2020-05-18,131.899994,131.899994,117.199997,118.949997,118.949997,28889473
2020-05-19,122.050003,124.599998,117.800003,120.400002,120.400002,23666457
2020-05-20,119.400002,125.800003,118.550003,124.250000,124.250000,19926250
2020-05-21,124.250000,126.650002,120.449997,121.800003,121.800003,12315699
2020-05-22,121.349998,123.650002,114.500000,115.650002,115.650002,20932974
2020-05-26,117.449997,118.449997,113.800003,115.199997,115.199997,10996639
2020-05-27,115.900002,123.949997,115.650002,121.800003,121.800003,24535758
2020-05-28,123.000000,126.000000,119.650002,120.800003,120.800003,14826054
2020-05-29,118.500000,122.750000,117.199997,122.150002,122.150002,15758658
2020-06-01,125.000000,131.000000,124.000000,127.949997,127.949997,19158784
2020-06-02,128.399994,130.300003,124.699997,126.800003,126.800003,12604346
2020-06-03,129.000000,135.649994,128.000000,128.649994,128.649994,18711284
2020-06-04,128.649994,133.500000,125.800003,127.750000,127.750000,15509750
2020-06-05,129.699997,131.899994,127.000000,130.250000,130.250000,15448434
2020-06-08,134.800003,152.300003,132.800003,149.000000,149.000000,54828918
2020-06-09,155.000000,156.600006,141.399994,144.500000,144.500000,44235723
2020-06-10,145.000000,164.699997,144.500000,161.800003,161.800003,58870168
2020-06-11,160.949997,165.350006,152.300003,153.199997,153.199997,31526092
2020-06-12,141.000000,155.649994,141.000000,153.449997,153.449997,28395260
2020-06-15,153.000000,159.399994,150.300003,153.500000,153.500000,27221131
2020-06-16,158.899994,160.899994,144.500000,152.350006,152.350006,24450538
2020-06-17,148.850006,157.399994,148.199997,152.250000,152.250000,19248364
2020-06-18,152.000000,157.500000,151.750000,155.149994,155.149994,16132026
2020-06-19,157.399994,209.449997,156.850006,203.399994,203.399994,97948282
2020-06-22,219.800003,254.250000,215.800003,242.199997,242.199997,85313320
2020-06-23,251.000000,263.250000,235.399994,240.300003,240.300003,60999596
2020-06-24,243.100006,245.899994,193.800003,208.100006,208.100006,49608925
2020-06-25,200.000000,239.199997,197.449997,227.300003,227.300003,83051819
2020-06-26,233.000000,239.399994,217.649994,227.649994,227.649994,46061302
2020-06-29,223.899994,228.250000,208.550003,216.649994,216.649994,34076740
2020-06-30,224.000000,224.000000,204.350006,207.149994,207.149994,34683391
2020-07-01,209.000000,232.399994,203.800003,220.149994,220.149994,76077518
2020-07-02,226.050003,233.000000,221.550003,225.300003,225.300003,44146182
2020-07-03,227.250000,234.899994,214.750000,231.050003,231.050003,64216518
2020-07-06,229.000000,236.750000,222.000000,231.800003,231.800003,43374585
2020-07-07,230.000000,235.000000,227.500000,231.449997,231.449997,27095730
2020-07-08,233.000000,236.000000,225.699997,228.300003,228.300003,14362656
2020-07-09,230.000000,233.000000,228.050003,229.250000,229.250000,10391110
2020-07-10,227.000000,238.750000,223.100006,235.449997,235.449997,20677282
2020-07-13,238.449997,250.800003,235.600006,238.399994,238.399994,54440471
2020-07-14,235.949997,235.949997,220.550003,223.449997,223.449997,25952509
2020-07-15,226.500000,228.750000,213.350006,215.199997,215.199997,25190543
2020-07-16,216.750000,221.300003,209.500000,218.949997,218.949997,22023177
2020-07-17,224.000000,228.000000,217.250000,222.199997,222.199997,23141403
2020-07-20,223.949997,225.750000,220.199997,221.850006,221.850006,13200346
2020-07-21,223.949997,234.500000,223.100006,224.649994,224.649994,26128470
2020-07-22,225.649994,226.000000,217.050003,219.550003,219.550003,16815550
2020-07-23,220.899994,223.250000,217.500000,219.250000,219.250000,11026681
2020-07-24,216.000000,225.750000,214.000000,216.100006,216.100006,24614024
2020-07-27,217.000000,217.500000,211.500000,212.300003,212.300003,7802257
2020-07-28,213.000000,217.000000,212.300003,215.800003,215.800003,9161218
2020-07-29,216.000000,218.800003,212.600006,213.899994,213.899994,8024872
2020-07-30,215.699997,217.800003,197.100006,199.699997,199.699997,23527256
2020-07-31,199.699997,199.699997,179.750000,190.000000,190.000000,44051370
2020-08-03,188.000000,191.750000,181.300003,182.600006,182.600006,16131921
2020-08-04,183.000000,187.649994,176.250000,184.750000,184.750000,20633558
2020-08-05,186.500000,194.500000,186.000000,190.350006,190.350006,19000475
2020-08-06,191.949997,195.000000,188.750000,190.850006,190.850006,15267876
2020-08-07,191.000000,199.649994,190.199997,193.350006,193.350006,21850152
2020-08-10,195.199997,212.649994,194.800003,204.699997,204.699997,33936627
2020-08-11,207.050003,220.449997,206.250000,214.699997,214.699997,37353723
2020-08-12,214.000000,220.399994,212.000000,218.000000,218.000000,16505854
2020-08-13,223.000000,227.550003,211.550003,212.699997,212.699997,20829435
2020-08-14,212.800003,214.750000,201.149994,204.899994,204.899994,10968015
2020-08-17,207.899994,210.399994,200.000000,203.350006,203.350006,14090775
2020-08-18,205.000000,211.350006,202.250000,207.750000,207.750000,19081466
2020-08-19,210.000000,211.199997,204.250000,204.800003,204.800003,9339438
2020-08-20,203.649994,208.800003,201.100006,204.000000,204.000000,7933104
2020-08-21,206.250000,207.399994,202.399994,203.149994,203.149994,6200804
2020-08-24,205.000000,210.000000,201.100006,202.399994,202.399994,14622659
2020-08-25,205.800003,209.800003,202.149994,206.300003,206.300003,19656526
2020-08-26,208.500000,223.000000,207.149994,217.750000,217.750000,53640625
2020-08-27,222.000000,224.000000,215.000000,219.350006,219.350006,22123698
2020-08-28,222.500000,229.600006,221.649994,223.899994,223.899994,26743140
2020-08-31,226.000000,230.250000,202.600006,208.199997,208.199997,31170395
2020-09-01,210.949997,211.500000,194.000000,205.800003,205.800003,24439250
2020-09-02,205.800003,208.500000,202.649994,204.350006,204.350006,7932259
2020-09-03,204.350006,206.550003,198.300003,199.899994,199.899994,7339324
2020-09-04,195.000000,196.449997,190.449997,192.750000,192.750000,10454969
2020-09-07,193.000000,198.199997,190.100006,194.949997,194.949997,15990020
2020-09-08,194.300003,205.800003,191.500000,201.649994,201.649994,26945506
2020-09-09,196.300003,202.800003,193.350006,201.300003,201.300003,17764010
2020-09-10,204.000000,205.000000,192.500000,194.699997,194.699997,15623443
2020-09-11,195.100006,200.500000,194.100006,198.899994,198.899994,15192817
2020-09-14,198.899994,200.399994,188.050003,189.500000,189.500000,15991776
2020-09-15,190.949997,191.449997,184.500000,185.850006,185.850006,13612525
2020-09-16,187.399994,193.500000,185.000000,186.399994,186.399994,14152237
2020-09-17,186.300003,188.699997,180.100006,181.600006,181.600006,12050512
2020-09-18,182.699997,186.500000,178.000000,178.600006,178.600006,15286699
2020-09-21,180.000000,182.000000,151.850006,155.199997,155.199997,56044842
2020-09-22,156.500000,165.699997,146.899994,154.399994,154.399994,52425216
2020-09-23,158.000000,160.250000,150.000000,151.649994,151.649994,14413254
2020-09-24,147.800003,150.800003,137.500000,138.800003,138.800003,24457566
2020-09-25,140.600006,146.899994,127.750000,145.250000,145.250000,60820570
2020-09-28,148.500000,157.100006,147.000000,155.199997,155.199997,26255950
2020-09-29,156.000000,156.899994,150.199997,152.100006,152.100006,17742597
2020-09-30,153.000000,160.000000,151.149994,157.149994,157.149994,30317137
2020-10-01,159.000000,161.800003,155.750000,156.500000,156.500000,17683691
2020-10-05,156.500000,158.949997,151.800003,152.649994,152.649994,11008560
2020-10-06,154.100006,157.399994,151.699997,153.899994,153.899994,13772783
2020-10-07,153.899994,157.899994,149.649994,151.000000,151.000000,16268732
2020-10-08,152.250000,156.800003,147.750000,149.100006,149.100006,17656464
2020-10-09,150.050003,157.300003,149.000000,154.850006,154.850006,29069977
2020-10-12,159.000000,160.800003,150.000000,150.550003,150.550003,22140139
2020-10-13,149.800003,153.000000,145.800003,146.800003,146.800003,16684174
2020-10-14,146.699997,156.750000,144.500000,155.300003,155.300003,28905464
2020-10-15,155.300003,157.850006,150.000000,151.500000,151.500000,14147460
2020-10-16,152.449997,153.699997,149.300003,151.149994,151.149994,8394246
2020-10-19,152.750000,154.850006,150.050003,153.100006,153.100006,8389297
2020-10-20,152.899994,154.399994,151.500000,152.500000,152.500000,4455453
2020-10-21,153.250000,154.199997,149.500000,151.600006,151.600006,5996349
2020-10-22,152.000000,154.350006,147.699997,149.399994,149.399994,7570936
2020-10-23,150.000000,155.149994,149.699997,150.449997,150.449997,16200138
2020-10-26,151.649994,154.000000,147.500000,149.949997,149.949997,12873170
2020-10-27,151.000000,151.600006,145.149994,147.899994,147.899994,10443057
2020-10-28,148.550003,148.649994,141.250000,143.300003,143.300003,13132739
2020-10-29,141.449997,142.300003,137.000000,139.949997,139.949997,13348426
2020-10-30,141.100006,144.399994,137.800003,140.000000,140.000000,14364651
2020-11-02,141.500000,142.649994,138.000000,140.300003,140.300003,9561754
2020-11-03,141.500000,145.899994,141.000000,142.250000,142.250000,14582005
2020-11-04,142.199997,144.850006,139.100006,141.649994,141.649994,9300589
2020-11-05,143.500000,145.800003,142.199997,144.649994,144.649994,10587721
2020-11-06,144.949997,155.500000,144.000000,152.350006,152.350006,28387775
2020-11-09,154.750000,155.899994,150.699997,153.399994,153.399994,10194113
2020-11-10,153.500000,160.300003,152.750000,157.800003,157.800003,16924420
2020-11-11,158.850006,165.500000,157.300003,159.449997,159.449997,21336609
2020-11-12,159.949997,175.350006,157.500000,171.050003,171.050003,63868645
2020-11-13,172.050003,184.000000,172.050003,182.199997,182.199997,29800438
2020-11-14,null,null,null,null,null,null
2020-11-17,183.550003,185.750000,175.199997,180.550003,180.550003,14162276
2020-11-18,173.500000,182.899994,172.850006,181.800003,181.800003,16036563
2020-11-19,180.000000,184.800003,175.500000,176.800003,176.800003,11552506
2020-11-20,176.949997,179.000000,173.649994,174.750000,174.750000,7325842
2020-11-23,178.100006,180.050003,176.199997,177.850006,177.850006,7203396
2020-11-24,178.000000,183.949997,176.000000,181.699997,181.699997,10588500
2020-11-25,184.000000,195.899994,183.699997,185.350006,185.350006,52496096
2020-11-26,186.399994,187.750000,181.300003,185.699997,185.699997,14168986
2020-11-27,187.100006,192.199997,180.600006,187.050003,187.050003,25655087
2020-12-01,189.000000,194.100006,185.399994,188.850006,188.850006,14075121
2020-12-02,189.750000,192.000000,186.850006,188.399994,188.399994,11210964
2020-12-03,189.300003,198.699997,187.649994,193.300003,193.300003,25362014
2020-12-04,195.000000,198.649994,190.050003,194.050003,194.050003,20659071
2020-12-07,195.000000,206.500000,193.300003,203.100006,203.100006,30482313
2020-12-08,205.000000,206.300003,196.000000,199.500000,199.500000,14850563
2020-12-09,201.000000,204.500000,198.399994,199.050003,199.050003,8400647
2020-12-10,199.149994,200.350006,191.199997,195.300003,195.300003,10496440
